Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #202,K-On! Movie,8.33,"Genres: Music, Slice of Life, Comedy","Members 262,186",Type: Movie,Episodes: 1,Licensors: Sentai Filmworks,Studios: Kyoto Animation,Source: 4-koma manga,Duration: 1 hr. 50 min.,Null,"Favorites: 2,062"
Ranked #203,Major: World Series,8.33,"Genres: Comedy, Drama, Shounen, Sports","Members 31,339",Type: OVA,Episodes: 2,"Licensors: None found, add some",Studios: SynergySP,Source: Manga,Duration: 28 min. per ep.,Null,Favorites: 88
Ranked #204,Natsume Yuujinchou,8.33,"Genres: Slice of Life, Demons, Supernatural, Drama, Shoujo","Members 441,535",Type: TV,Episodes: 13,"Licensors: NIS America, Inc.",Studios: Brain's Base,Source: Manga,Duration: 24 min. per ep.,Premiered: Summer 2008,"Favorites: 13,392"
Ranked #205,Natsume Yuujinchou Go Specials,8.33,"Genres: Slice of Life, Demons, Supernatural, Drama, Shoujo","Members 35,443",Type: Special,Episodes: 2,"Licensors: None found, add some",Studios: Shuka,Source: Manga,Duration: 23 min. per ep.,Null,Favorites: 53
Ranked #206,Neon Genesis Evangelion,8.33,"Genres: Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","Members 1,320,825",Type: TV,Episodes: 26,"Licensors: ADV Films, GKIDS, Netflix","Studios: Gainax, Tatsunoko Production",Source: Original,Duration: 24 min. per ep.,Premiered: Fall 1995,"Favorites: 74,984"
Ranked #207,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.33,"Genres: Comedy, Supernatural, Drama, Romance, School","Members 1,181,117",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: CloverWorks,Source: Light novel,Duration: 24 min. per ep.,Premiered: Fall 2018,"Favorites: 34,097"
Ranked #208,Shinsekai yori,8.33,"Genres: Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural","Members 659,334",Type: TV,Episodes: 25,Licensors: Sentai Filmworks,Studios: A-1 Pictures,Source: Novel,Duration: 22 min. per ep.,Premiered: Fall 2012,"Favorites: 20,273"
Ranked #209,Shirobako,8.33,"Genres: Comedy, Drama","Members 375,564",Type: TV,Episodes: 24,Licensors: Sentai Filmworks,Studios: P.A. Works,Source: Original,Duration: 24 min. per ep.,Premiered: Fall 2014,"Favorites: 5,823"
Ranked #210,Wu Liuqi Zhi Xuanwu Guo Pian,8.33,"Genres: Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power","Members 9,622",Type: ONA,Episodes: 10,"Licensors: None found, add some","Studios: None found, add some",Source: Original,Duration: 16 min. per ep.,Null,Favorites: 92
Ranked #211,NHK ni Youkoso!,8.32,"Genres: Comedy, Psychological, Drama, Romance","Members 589,638",Type: TV,Episodes: 24,"Licensors: ADV Films, Funimation",Studios: Gonzo,Source: Novel,Duration: 24 min. per ep.,Premiered: Summer 2006,"Favorites: 21,336"
Ranked #212,Shelter,8.32,"Genres: Sci-Fi, Music","Members 285,338",Type: Music,Episodes: 1,Licensors: Crunchyroll,Studios: A-1 Pictures,Source: Music,Duration: 6 min.,Null,"Favorites: 2,265"
Ranked #213,Steins;Gate: Oukoubakko no Poriomania,8.32,"Genres: Sci-Fi, Comedy","Members 364,997",Type: Special,Episodes: 1,Licensors: Funimation,Studios: White Fox,Source: Visual novel,Duration: 24 min.,Null,Favorites: 707
Ranked #214,Dr. Stone,8.32,"Genres: Sci-Fi, Adventure, Comedy, Shounen","Members 1,187,278",Type: TV,Episodes: 24,"Licensors: Funimation, Crunchyroll",Studios: TMS Entertainment,Source: Manga,Duration: 24 min. per ep.,Premiered: Summer 2019,"Favorites: 19,539"
Ranked #215,Fate/Zero,8.32,"Genres: Action, Supernatural, Magic, Fantasy","Members 1,209,908",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: ufotable,Source: Light novel,Duration: 28 min. per ep.,Premiered: Fall 2011,"Favorites: 29,677"
Ranked #216,Great Pretender,8.32,"Genres: Action, Adventure, Mystery, Comedy, Psychological","Members 401,339",Type: TV,Episodes: 23,"Licensors: None found, add some",Studios: Wit Studio,Source: Original,Duration: 23 min. per ep.,Premiered: Summer 2020,"Favorites: 6,254"
Ranked #217,Hunter x Hunter: Original Video Animation,8.32,"Genres: Action, Adventure, Super Power, Shounen","Members 107,828",Type: OVA,Episodes: 8,"Licensors: None found, add some",Studios: Nippon Animation,Source: Manga,Duration: 24 min. per ep.,Null,Favorites: 331
Ranked #218,Kino no Tabi: The Beautiful World,8.32,"Genres: Action, Adventure, Psychological, Slice of Life","Members 244,720",Type: TV,Episodes: 13,"Licensors: ADV Films, Sentai Filmworks",Studios: A.C.G.T.,Source: Light novel,Duration: 24 min. per ep.,Premiered: Spring 2003,"Favorites: 5,685"
Ranked #219,Kuroko no Basket 3rd Season,8.32,"Genres: Comedy, Sports, School, Shounen","Members 575,684",Type: TV,Episodes: 25,"Licensors: None found, add some",Studios: Production I.G,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2015,"Favorites: 4,241"
Ranked #220,Beck,8.31,"Genres: Comedy, Drama, Music, Shounen, Slice of Life","Members 276,752",Type: TV,Episodes: 26,Licensors: Funimation,Studios: Madhouse,Source: Manga,Duration: 25 min. per ep.,Premiered: Fall 2004,"Favorites: 6,996"
Ranked #221,Diamond no Ace: Second Season,8.31,"Genres: Comedy, Sports, School, Shounen","Members 110,081",Type: TV,Episodes: 51,"Licensors: None found, add some","Studios: Production I.G, Madhouse",Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2015,Favorites: 900
Ranked #222,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,"Genres: Slice of Life, Drama, Fantasy","Members 217,686",Type: Special,Episodes: 1,"Licensors: None found, add some",Studios: Kyoto Animation,Source: Light novel,Duration: 34 min.,Null,Favorites: 485
Ranked #223,Nodame Cantabile,8.3,"Genres: Music, Slice of Life, Comedy, Drama, Romance, Josei","Members 274,697",Type: TV,Episodes: 23,"Licensors: None found, add some",Studios: J.C.Staff,Source: Manga,Duration: 22 min. per ep.,Premiered: Winter 2007,"Favorites: 4,689"
Ranked #224,Planetes,8.3,"Genres: Drama, Romance, Sci-Fi, Seinen, Space","Members 207,908",Type: TV,Episodes: 26,Licensors: Bandai Entertainment,Studios: Sunrise,Source: Manga,Duration: 25 min. per ep.,Premiered: Fall 2003,"Favorites: 3,468"
Ranked #225,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,"Genres: Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen","Members 412,490",Type: TV,Episodes: 94,"Licensors: Media Blasters, Aniplex of America","Studios: Gallop, Studio Deen",Source: Manga,Duration: 25 min. per ep.,Premiered: Winter 1996,"Favorites: 8,806"
Ranked #226,Stranger: Mukou Hadan,8.3,"Genres: Action, Adventure, Historical, Samurai","Members 278,458",Type: Movie,Episodes: 1,"Licensors: Funimation, Bandai Entertainment",Studios: Bones,Source: Original,Duration: 1 hr. 43 min.,Null,"Favorites: 2,623"
